season,playerId,player,position,team,conference,category,statType,stat
2024,4427455,Cade McNamara,QB,Iowa,Big Ten,passing,INT,5
2024,4427455,Cade McNamara,QB,Iowa,Big Ten,passing,PCT,0.605
2024,4427455,Cade McNamara,QB,Iowa,Big Ten,passing,TD,6
2024,4427455,Cade McNamara,QB,Iowa,Big Ten,passing,YDS,1017
2024,4427455,Cade McNamara,QB,Iowa,Big Ten,passing,YPA,5.9
2024,4427731,Tyler Knoop,QB,Stony Brook,CAA,passing,ATT,263
2024,4427731,Tyler Knoop,QB,Stony Brook,CAA,passing,COMPLETIONS,182
2024,4427731,Tyler Knoop,QB,Stony Brook,CAA,passing,INT,4
2024,4427731,Tyler Knoop,QB,Stony Brook,CAA,passing,PCT,0.692
2024,4427731,Tyler Knoop,QB,Stony Brook,CAA,passing,TD,17
2024,4427731,Tyler Knoop,QB,Stony Brook,CAA,passing,YDS,2021
2024,4427731,Tyler Knoop,QB,Stony Brook,CAA,passing,YPA,7.7
2024,4427911,Hollis Mathis,QB,William & Mary,CAA,passing,ATT,4
2024,4427911,Hollis Mathis,QB,William & Mary,CAA,passing,COMPLETIONS,4
2024,4427911,Hollis Mathis,QB,William & Mary,CAA,passing,INT,0
2024,4427911,Hollis Mathis,QB,William & Mary,CAA,passing,PCT,1.000
2024,4427911,Hollis Mathis,QB,William & Mary,CAA,passing,TD,2
2024,4427911,Hollis Mathis,QB,William & Mary,CAA,passing,YDS,54
2024,4427911,Hollis Mathis,QB,William & Mary,CAA,passing,YPA,13.5
2024,4427936,Grayson McCall,QB,NC State,ACC,passing,ATT,80
2024,4427936,Grayson McCall,QB,NC State,ACC,passing,COMPLETIONS,53
2024,4427936,Grayson McCall,QB,NC State,ACC,passing,INT,2
2024,4427936,Grayson McCall,QB,NC State,ACC,passing,PCT,0.663
2024,4427936,Grayson McCall,QB,NC State,ACC,passing,TD,3
2024,4427936,Grayson McCall,QB,NC State,ACC,passing,YDS,518
2024,4427936,Grayson McCall,QB,NC State,ACC,passing,YPA,6.5
2024,4427949,Clifton McDowell,QB,McNeese,Southland,passing,ATT,109
2024,4427949,Clifton McDowell,QB,McNeese,Southland,passing,COMPLETIONS,63
2024,4427949,Clifton McDowell,QB,McNeese,Southland,passing,INT,2
2024,4427949,Clifton McDowell,QB,McNeese,Southland,passing,PCT,0.578
2024,4427949,Clifton McDowell,QB,McNeese,Southland,passing,TD,6
2024,4427949,Clifton McDowell,QB,McNeese,Southland,passing,YDS,1054
2024,4427949,Clifton McDowell,QB,McNeese,Southland,passing,YPA,9.7
2024,4427957,Ty McCullouch,WR,Montana State,Big Sky,passing,ATT,1
2024,4427957,Ty McCullouch,WR,Montana State,Big Sky,passing,COMPLETIONS,1
2024,4427957,Ty McCullouch,WR,Montana State,Big Sky,passing,INT,0
2024,4427957,Ty McCullouch,WR,Montana State,Big Sky,passing,PCT,1.000
2024,4427957,Ty McCullouch,WR,Montana State,Big Sky,passing,TD,1
2024,4427957,Ty McCullouch,WR,Montana State,Big Sky,passing,YDS,34
2024,4427957,Ty McCullouch,WR,Montana State,Big Sky,passing,YPA,34.0
2024,4427966,Maverick McIvor,QB,Abilene Christian,UAC,passing,ATT,496
2024,4427966,Maverick McIvor,QB,Abilene Christian,UAC,passing,COMPLETIONS,312
2024,4427966,Maverick McIvor,QB,Abilene Christian,UAC,passing,INT,7
2024,4427966,Maverick McIvor,QB,Abilene Christian,UAC,passing,PCT,0.629
2024,4427966,Maverick McIvor,QB,Abilene Christian,UAC,passing,TD,30
2024,4427966,Maverick McIvor,QB,Abilene Christian,UAC,passing,YDS,3847
2024,4427966,Maverick McIvor,QB,Abilene Christian,UAC,passing,YPA,7.8
2024,4428439,Collin Schlee,QB,Virginia Tech,ACC,passing,ATT,55
2024,4428439,Collin Schlee,QB,Virginia Tech,ACC,passing,COMPLETIONS,28
2024,4428439,Collin Schlee,QB,Virginia Tech,ACC,passing,INT,1
2024,4428439,Collin Schlee,QB,Virginia Tech,ACC,passing,PCT,0.509
2024,4428439,Collin Schlee,QB,Virginia Tech,ACC,passing,TD,3
2024,4428439,Collin Schlee,QB,Virginia Tech,ACC,passing,YDS,414
2024,4428439,Collin Schlee,QB,Virginia Tech,ACC,passing,YPA,7.5
2024,4428527,Dalvin Smith,WR,Western Kentucky,Conference USA,passing,ATT,4
2024,4428527,Dalvin Smith,WR,Western Kentucky,Conference USA,passing,COMPLETIONS,3
2024,4428527,Dalvin Smith,WR,Western Kentucky,Conference USA,passing,INT,0
2024,4428527,Dalvin Smith,WR,Western Kentucky,Conference USA,passing,PCT,0.750
2024,4428527,Dalvin Smith,WR,Western Kentucky,Conference USA,passing,TD,2
2024,4428527,Dalvin Smith,WR,Western Kentucky,Conference USA,passing,YDS,107
2024,4428527,Dalvin Smith,WR,Western Kentucky,Conference USA,passing,YPA,26.8
2024,4428805,Connor Watkins,QB,Villanova,CAA,passing,ATT,342
2024,4428805,Connor Watkins,QB,Villanova,CAA,passing,COMPLETIONS,176
2024,4428805,Connor Watkins,QB,Villanova,CAA,passing,INT,5
2024,4428805,Connor Watkins,QB,Villanova,CAA,passing,PCT,0.515
2024,4428805,Connor Watkins,QB,Villanova,CAA,passing,TD,13
2024,4428805,Connor Watkins,QB,Villanova,CAA,passing,YDS,2102
2024,4428805,Connor Watkins,QB,Villanova,CAA,passing,YPA,6.1
2024,4428887,Davis Beville,QB,South Carolina,SEC,passing,ATT,7
2024,4428887,Davis Beville,QB,South Carolina,SEC,passing,COMPLETIONS,5
2024,4428887,Davis Beville,QB,South Carolina,SEC,passing,INT,0
2024,4428887,Davis Beville,QB,South Carolina,SEC,passing,PCT,0.714
2024,4428887,Davis Beville,QB,South Carolina,SEC,passing,TD,1
