season,id,name,position,team,conference,usage
2024,4426417,Jacob Zeno,QB,UAB,AAC,"{'overall': 0.502, 'pass': 0.91, 'rush': 0.191, 'firstDown': 0.46, 'secondDown': 0.446, 'thirdDown': 0.685, 'standardDowns': 0.407, 'passingDowns': 0.753}"
2024,4426420,Devyn Ford,RB,Notre Dame,Ind,"{'overall': 0.038, 'pass': 0.011, 'rush': 0.06, 'firstDown': 0.017, 'secondDown': 0.037, 'thirdDown': 0.087, 'standardDowns': 0.029, 'passingDowns': 0.058}"
2024,4426421,Ryland Goede,TE,Georgia Tech,ACC,"{'overall': 0.016, 'pass': 0.038, 'rush': 0, 'firstDown': 0.012, 'secondDown': 0.024, 'thirdDown': 0.016, 'standardDowns': 0.018, 'passingDowns': 0.011}"
2024,4426424,Trejan Bridges,WR,Central Arkansas,,"{'overall': 0.071, 'pass': 0.142, 'rush': 0, 'firstDown': 0.053, 'secondDown': 0.07, 'thirdDown': 0.118, 'standardDowns': 0.054, 'passingDowns': 0.103}"
2024,4426428,Sean Dollars,RB,Nevada,MWC,"{'overall': 0.119, 'pass': 0.054, 'rush': 0.166, 'firstDown': 0.119, 'secondDown': 0.129, 'thirdDown': 0.096, 'standardDowns': 0.128, 'passingDowns': 0.099}"
2024,4426430,Taisun Phommachanh,QB,Massachusetts,Ind,"{'overall': 0.538, 'pass': 0.886, 'rush': 0.246, 'firstDown': 0.476, 'secondDown': 0.533, 'thirdDown': 0.657, 'standardDowns': 0.446, 'passingDowns': 0.724}"
2024,4426444,Connor Bazelak,QB,Bowling Green,MAC,"{'overall': 0.532, 'pass': 0.951, 'rush': 0.065, 'firstDown': 0.46, 'secondDown': 0.553, 'thirdDown': 0.655, 'standardDowns': 0.478, 'passingDowns': 0.645}"
2024,4426454,Lance LeGendre,WR,Louisiana,SBC,"{'overall': 0.061, 'pass': 0.123, 'rush': 0.004, 'firstDown': 0.06, 'secondDown': 0.064, 'thirdDown': 0.064, 'standardDowns': 0.054, 'passingDowns': 0.081}"
2024,4426459,Chase Lane,WR,Georgia Tech,ACC,"{'overall': 0.039, 'pass': 0.083, 'rush': 0, 'firstDown': 0.034, 'secondDown': 0.049, 'thirdDown': 0.032, 'standardDowns': 0.034, 'passingDowns': 0.052}"
2024,4426460,Jackson Lowe,TE,Incarnate Word,,"{'overall': 0.029, 'pass': 0.056, 'rush': 0, 'firstDown': 0.032, 'secondDown': 0.022, 'thirdDown': 0.036, 'standardDowns': 0.03, 'passingDowns': 0.024}"
